mensagem,categoria,sinonimo,idioma,continente,pais,estado,cidade,latitude,longitude,impacto
"Alert: hurricane in Lagos, Nigéria.",ciclone,hurricane,en,África,Nigéria,Lagos,Lagos,6.52438,3.37921,baixo
"Alert: hurricane in Niamey, Níger.",ciclone,hurricane,en,África,Níger,Niamey,Niamey,13.51253,2.11265,baixo
"Alert: hurricane in Nairobi, Quênia.",ciclone,hurricane,en,África,Quênia,Nairobi,Nairobi,-1.29207,36.82193,moderado
"Alert: hurricane in Pretória, África do Sul.",ciclone,hurricane,en,África,África do Sul,Gauteng,Pretória,-25.74787,28.22927,alto
"Alert: hurricane in Piton de la Fournaise, Indonésia.",ciclone,hurricane,en,África,Indonésia,Reunião,Piton de la Fournaise,-21.2448,55.70889,baixo
"Alert: hurricane in Sydney, Austrália.",ciclone,hurricane,en,Oceania,Austrália,Nova Gales do Sul,Sydney,-33.86882,151.2093,catastrófico
"Alert: hurricane in Brisbane, Austrália.",ciclone,hurricane,en,Oceania,Austrália,Colúmbia Britânica,Brisbane,-27.46977,153.02513,catastrófico
"Alert: hurricane in Suva, Fiji.",ciclone,hurricane,en,Oceania,Fiji,Central,Suva,-18.1248,178.4501,baixo
"Alert: hurricane in Wellington, Nova Zelândia.",ciclone,hurricane,en,Oceania,Nova Zelândia,Wellington,Wellington,-41.28646,174.77623,baixo
"Alert: hurricane in Manado, Indonésia.",ciclone,hurricane,en,Oceania,Indonésia,Sulawesi do Norte,Manado,1.4748,124.8428,catastrófico
"Alerta: typhoon em São Paulo, Brasil.",ciclone,typhoon,pt,América do Sul,Brasil,São Paulo,São Paulo,-23.55052,-46.63331,moderado
"Alerta: typhoon em Recife, Brasil.",ciclone,typhoon,pt,América do Sul,Brasil,Pernambuco,Recife,-8.04756,-34.877,baixo
"Alerta: typhoon em Barranquilla, Colômbia.",ciclone,typhoon,pt,América do Sul,Colômbia,Atlántico,Barranquilla,10.96854,-74.78132,catastrófico
"Alerta: typhoon em Buenos Aires, Argentina.",ciclone,typhoon,pt,América do Sul,Argentina,Buenos Aires,Buenos Aires,-34.60372,-58.38159,baixo
"Alerta: typhoon em Santiago, Chile.",ciclone,typhoon,pt,América do Sul,Chile,Região Metropolitana,Santiago,-33.44889,-70.66927,alto
"Alerta: typhoon em Los Angeles, Estados Unidos.",ciclone,typhoon,pt,América do Norte,Estados Unidos,Califórnia,Los Angeles,34.05223,-118.24368,moderado
"Alerta: typhoon em Phoenix, Estados Unidos.",ciclone,typhoon,pt,América do Norte,Estados Unidos,Arizona,Phoenix,33.44838,-112.07404,catastrófico
"Alerta: typhoon em Monterrey, México.",ciclone,typhoon,pt,América do Norte,México,Nuevo León,Monterrey,25.68661,-100.31612,baixo
"Alerta: typhoon em Toronto, Canadá.",ciclone,typhoon,pt,América do Norte,Canadá,Ontário,Toronto,43.65107,-79.347015,alto
"Alerta: typhoon em Houston, Estados Unidos.",ciclone,typhoon,pt,América do Norte,Estados Unidos,Texas,Houston,29.76043,-95.3698,moderado
"Alerta: typhoon em Marselha, França.",ciclone,typhoon,pt,Europa,França,Provence-Alpes-Côte d'Azur,Marselha,43.29648,5.36978,catastrófico
"Alerta: typhoon em Nice, França.",ciclone,typhoon,pt,Europa,França,Provence-Alpes-Côte d'Azur,Nice,43.71017,7.26195,baixo
"Alerta: typhoon em Saint-Denis, Reunião.",ciclone,typhoon,pt,Europa,Reunião,Reunião,Saint-Denis,-20.87891,55.44813,alto
"Alerta: typhoon em La Palma (Cumbre Vieja), Espanha.",ciclone,typhoon,pt,Europa,Espanha,Ilhas Canárias,La Palma (Cumbre Vieja),28.57,-17.84,moderado
"Alerta: typhoon em Londres, Reino Unido.",ciclone,typhoon,pt,Europa,Reino Unido,Inglaterra,Londres,51.50735,-0.127758,catastrófico
"Alerta: typhoon em Ahmedabad, Índia.",ciclone,typhoon,pt,Ásia,Índia,Gujarat,Ahmedabad,23.02251,72.57136,catastrófico
"Alerta: typhoon em Tóquio, Japão.",ciclone,typhoon,pt,Ásia,Japão,Tóquio,Tóquio,35.68949,139.69171,moderado
"Alerta: typhoon em Jacarta, Indonésia.",ciclone,typhoon,pt,Ásia,Indonésia,Oeste de Java,Jacarta,-6.20876,106.8456,baixo
"Alerta: typhoon em Manila, Filipinas.",ciclone,typhoon,pt,Ásia,Filipinas,Luzon,Manila,14.59951,120.98422,baixo
"Alerta: typhoon em Kathmandu, Nepal.",ciclone,typhoon,pt,Ásia,Nepal,Bagmati,Kathmandu,27.71725,85.32396,catastrófico
"Alerta: typhoon em Lagos, Nigéria.",ciclone,typhoon,pt,África,Nigéria,Lagos,Lagos,6.52438,3.37921,moderado
"Alerta: typhoon em Niamey, Níger.",ciclone,typhoon,pt,África,Níger,Niamey,Niamey,13.51253,2.11265,moderado
"Alerta: typhoon em Nairobi, Quênia.",ciclone,typhoon,pt,África,Quênia,Nairobi,Nairobi,-1.29207,36.82193,baixo
"Alerta: typhoon em Pretória, África do Sul.",ciclone,typhoon,pt,África,África do Sul,Gauteng,Pretória,-25.74787,28.22927,moderado
"Alerta: typhoon em Piton de la Fournaise, Indonésia.",ciclone,typhoon,pt,África,Indonésia,Reunião,Piton de la Fournaise,-21.2448,55.70889,catastrófico
"Alerta: typhoon em Sydney, Austrália.",ciclone,typhoon,pt,Oceania,Austrália,Nova Gales do Sul,Sydney,-33.86882,151.2093,alto
"Alerta: typhoon em Brisbane, Austrália.",ciclone,typhoon,pt,Oceania,Austrália,Colúmbia Britânica,Brisbane,-27.46977,153.02513,alto
"Alerta: typhoon em Suva, Fiji.",ciclone,typhoon,pt,Oceania,Fiji,Central,Suva,-18.1248,178.4501,moderado
"Alerta: typhoon em Wellington, Nova Zelândia.",ciclone,typhoon,pt,Oceania,Nova Zelândia,Wellington,Wellington,-41.28646,174.77623,baixo
"Alerta: typhoon em Manado, Indonésia.",ciclone,typhoon,pt,Oceania,Indonésia,Sulawesi do Norte,Manado,1.4748,124.8428,catastrófico
"Alerta: ciclón em São Paulo, Brasil.",ciclone,ciclón,pt,América do Sul,Brasil,São Paulo,São Paulo,-23.55052,-46.63331,baixo
"Alerta: ciclón em Recife, Brasil.",ciclone,ciclón,pt,América do Sul,Brasil,Pernambuco,Recife,-8.04756,-34.877,baixo
"Alerta: ciclón em Barranquilla, Colômbia.",ciclone,ciclón,pt,América do Sul,Colômbia,Atlántico,Barranquilla,10.96854,-74.78132,catastrófico
"Alerta: ciclón em Buenos Aires, Argentina.",ciclone,ciclón,pt,América do Sul,Argentina,Buenos Aires,Buenos Aires,-34.60372,-58.38159,catastrófico
"Alerta: ciclón em Santiago, Chile.",ciclone,ciclón,pt,América do Sul,Chile,Região Metropolitana,Santiago,-33.44889,-70.66927,alto
"Alerta: ciclón em Los Angeles, Estados Unidos.",ciclone,ciclón,pt,América do Norte,Estados Unidos,Califórnia,Los Angeles,34.05223,-118.24368,catastrófico
"Alerta: ciclón em Phoenix, Estados Unidos.",ciclone,ciclón,pt,América do Norte,Estados Unidos,Arizona,Phoenix,33.44838,-112.07404,catastrófico
"Alerta: ciclón em Monterrey, México.",ciclone,ciclón,pt,América do Norte,México,Nuevo León,Monterrey,25.68661,-100.31612,baixo
"Alerta: ciclón em Toronto, Canadá.",ciclone,ciclón,pt,América do Norte,Canadá,Ontário,Toronto,43.65107,-79.347015,baixo
"Alerta: ciclón em Houston, Estados Unidos.",ciclone,ciclón,pt,América do Norte,Estados Unidos,Texas,Houston,29.76043,-95.3698,alto
"Alerta: ciclón em Marselha, França.",ciclone,ciclón,pt,Europa,França,Provence-Alpes-Côte d'Azur,Marselha,43.29648,5.36978,alto
"Alerta: ciclón em Nice, França.",ciclone,ciclón,pt,Europa,França,Provence-Alpes-Côte d'Azur,Nice,43.71017,7.26195,baixo
"Alerta: ciclón em Saint-Denis, Reunião.",ciclone,ciclón,pt,Europa,Reunião,Reunião,Saint-Denis,-20.87891,55.44813,alto
"Alerta: ciclón em La Palma (Cumbre Vieja), Espanha.",ciclone,ciclón,pt,Europa,Espanha,Ilhas Canárias,La Palma (Cumbre Vieja),28.57,-17.84,baixo
"Alerta: ciclón em Londres, Reino Unido.",ciclone,ciclón,pt,Europa,Reino Unido,Inglaterra,Londres,51.50735,-0.127758,catastrófico
"Alerta: ciclón em Ahmedabad, Índia.",ciclone,ciclón,pt,Ásia,Índia,Gujarat,Ahmedabad,23.02251,72.57136,catastrófico
"Alerta: ciclón em Tóquio, Japão.",ciclone,ciclón,pt,Ásia,Japão,Tóquio,Tóquio,35.68949,139.69171,moderado
"Alerta: ciclón em Jacarta, Indonésia.",ciclone,ciclón,pt,Ásia,Indonésia,Oeste de Java,Jacarta,-6.20876,106.8456,alto
"Alerta: ciclón em Manila, Filipinas.",ciclone,ciclón,pt,Ásia,Filipinas,Luzon,Manila,14.59951,120.98422,baixo
"Alerta: ciclón em Kathmandu, Nepal.",ciclone,ciclón,pt,Ásia,Nepal,Bagmati,Kathmandu,27.71725,85.32396,catastrófico
"Alerta: ciclón em Lagos, Nigéria.",ciclone,ciclón,pt,África,Nigéria,Lagos,Lagos,6.52438,3.37921,baixo
"Alerta: ciclón em Niamey, Níger.",ciclone,ciclón,pt,África,Níger,Niamey,Niamey,13.51253,2.11265,moderado
"Alerta: ciclón em Nairobi, Quênia.",ciclone,ciclón,pt,África,Quênia,Nairobi,Nairobi,-1.29207,36.82193,moderado
"Alerta: ciclón em Pretória, África do Sul.",ciclone,ciclón,pt,África,África do Sul,Gauteng,Pretória,-25.74787,28.22927,baixo
"Alerta: ciclón em Piton de la Fournaise, Indonésia.",ciclone,ciclón,pt,África,Indonésia,Reunião,Piton de la Fournaise,-21.2448,55.70889,catastrófico
"Alerta: ciclón em Sydney, Austrália.",ciclone,ciclón,pt,Oceania,Austrália,Nova Gales do Sul,Sydney,-33.86882,151.2093,alto
"Alerta: ciclón em Brisbane, Austrália.",ciclone,ciclón,pt,Oceania,Austrália,Colúmbia Britânica,Brisbane,-27.46977,153.02513,moderado
"Alerta: ciclón em Suva, Fiji.",ciclone,ciclón,pt,Oceania,Fiji,Central,Suva,-18.1248,178.4501,alto
"Alerta: ciclón em Wellington, Nova Zelândia.",ciclone,ciclón,pt,Oceania,Nova Zelândia,Wellington,Wellington,-41.28646,174.77623,baixo
"Alerta: ciclón em Manado, Indonésia.",ciclone,ciclón,pt,Oceania,Indonésia,Sulawesi do Norte,Manado,1.4748,124.8428,alto
"Alerta: huracán en São Paulo, Brasil.",ciclone,huracán,es,América do Sul,Brasil,São Paulo,São Paulo,-23.55052,-46.63331,baixo
"Alerta: huracán en Recife, Brasil.",ciclone,huracán,es,América do Sul,Brasil,Pernambuco,Recife,-8.04756,-34.877,baixo
"Alerta: huracán en Barranquilla, Colômbia.",ciclone,huracán,es,América do Sul,Colômbia,Atlántico,Barranquilla,10.96854,-74.78132,alto
"Alerta: huracán en Buenos Aires, Argentina.",ciclone,huracán,es,América do Sul,Argentina,Buenos Aires,Buenos Aires,-34.60372,-58.38159,catastrófico
"Alerta: huracán en Santiago, Chile.",ciclone,huracán,es,América do Sul,Chile,Região Metropolitana,Santiago,-33.44889,-70.66927,baixo
"Alerta: huracán en Los Angeles, Estados Unidos.",ciclone,huracán,es,América do Norte,Estados Unidos,Califórnia,Los Angeles,34.05223,-118.24368,catastrófico
"Alerta: huracán en Phoenix, Estados Unidos.",ciclone,huracán,es,América do Norte,Estados Unidos,Arizona,Phoenix,33.44838,-112.07404,moderado
"Alerta: huracán en Monterrey, México.",ciclone,huracán,es,América do Norte,México,Nuevo León,Monterrey,25.68661,-100.31612,baixo
"Alerta: huracán en Toronto, Canadá.",ciclone,huracán,es,América do Norte,Canadá,Ontário,Toronto,43.65107,-79.347015,baixo
"Alerta: huracán en Houston, Estados Unidos.",ciclone,huracán,es,América do Norte,Estados Unidos,Texas,Houston,29.76043,-95.3698,alto
"Alerta: huracán en Marselha, França.",ciclone,huracán,es,Europa,França,Provence-Alpes-Côte d'Azur,Marselha,43.29648,5.36978,moderado
"Alerta: huracán en Nice, França.",ciclone,huracán,es,Europa,França,Provence-Alpes-Côte d'Azur,Nice,43.71017,7.26195,catastrófico
"Alerta: huracán en Saint-Denis, Reunião.",ciclone,huracán,es,Europa,Reunião,Reunião,Saint-Denis,-20.87891,55.44813,alto
"Alerta: huracán en La Palma (Cumbre Vieja), Espanha.",ciclone,huracán,es,Europa,Espanha,Ilhas Canárias,La Palma (Cumbre Vieja),28.57,-17.84,baixo
"Alerta: huracán en Londres, Reino Unido.",ciclone,huracán,es,Europa,Reino Unido,Inglaterra,Londres,51.50735,-0.127758,baixo
"Alerta: huracán en Ahmedabad, Índia.",ciclone,huracán,es,Ásia,Índia,Gujarat,Ahmedabad,23.02251,72.57136,alto
"Alerta: huracán en Tóquio, Japão.",ciclone,huracán,es,Ásia,Japão,Tóquio,Tóquio,35.68949,139.69171,catastrófico
"Alerta: huracán en Jacarta, Indonésia.",ciclone,huracán,es,Ásia,Indonésia,Oeste de Java,Jacarta,-6.20876,106.8456,moderado
"Alerta: huracán en Manila, Filipinas.",ciclone,huracán,es,Ásia,Filipinas,Luzon,Manila,14.59951,120.98422,alto
"Alerta: huracán en Kathmandu, Nepal.",ciclone,huracán,es,Ásia,Nepal,Bagmati,Kathmandu,27.71725,85.32396,alto
"Alerta: huracán en Lagos, Nigéria.",ciclone,huracán,es,África,Nigéria,Lagos,Lagos,6.52438,3.37921,catastrófico
"Alerta: huracán en Niamey, Níger.",ciclone,huracán,es,África,Níger,Niamey,Niamey,13.51253,2.11265,moderado
"Alerta: huracán en Nairobi, Quênia.",ciclone,huracán,es,África,Quênia,Nairobi,Nairobi,-1.29207,36.82193,baixo
"Alerta: huracán en Pretória, África do Sul.",ciclone,huracán,es,África,África do Sul,Gauteng,Pretória,-25.74787,28.22927,catastrófico
"Alerta: huracán en Piton de la Fournaise, Indonésia.",ciclone,huracán,es,África,Indonésia,Reunião,Piton de la Fournaise,-21.2448,55.70889,alto
"Alerta: huracán en Sydney, Austrália.",ciclone,huracán,es,Oceania,Austrália,Nova Gales do Sul,Sydney,-33.86882,151.2093,catastrófico
"Alerta: huracán en Brisbane, Austrália.",ciclone,huracán,es,Oceania,Austrália,Colúmbia Britânica,Brisbane,-27.46977,153.02513,baixo
"Alerta: huracán en Suva, Fiji.",ciclone,huracán,es,Oceania,Fiji,Central,Suva,-18.1248,178.4501,alto
"Alerta: huracán en Wellington, Nova Zelândia.",ciclone,huracán,es,Oceania,Nova Zelândia,Wellington,Wellington,-41.28646,174.77623,moderado
"Alerta: huracán en Manado, Indonésia.",ciclone,huracán,es,Oceania,Indonésia,Sulawesi do Norte,Manado,1.4748,124.8428,catastrófico
"Alerta: tifón em São Paulo, Brasil.",ciclone,tifón,pt,América do Sul,Brasil,São Paulo,São Paulo,-23.55052,-46.63331,baixo
"Alerta: tifón em Recife, Brasil.",ciclone,tifón,pt,América do Sul,Brasil,Pernambuco,Recife,-8.04756,-34.877,moderado
"Alerta: tifón em Barranquilla, Colômbia.",ciclone,tifón,pt,América do Sul,Colômbia,Atlántico,Barranquilla,10.96854,-74.78132,catastrófico
"Alerta: tifón em Buenos Aires, Argentina.",ciclone,tifón,pt,América do Sul,Argentina,Buenos Aires,Buenos Aires,-34.60372,-58.38159,alto
"Alerta: tifón em Santiago, Chile.",ciclone,tifón,pt,América do Sul,Chile,Região Metropolitana,Santiago,-33.44889,-70.66927,catastrófico
"Alerta: tifón em Los Angeles, Estados Unidos.",ciclone,tifón,pt,América do Norte,Estados Unidos,Califórnia,Los Angeles,34.05223,-118.24368,moderado
"Alerta: tifón em Phoenix, Estados Unidos.",ciclone,tifón,pt,América do Norte,Estados Unidos,Arizona,Phoenix,33.44838,-112.07404,alto
"Alerta: tifón em Monterrey, México.",ciclone,tifón,pt,América do Norte,México,Nuevo León,Monterrey,25.68661,-100.31612,baixo
"Alerta: tifón em Toronto, Canadá.",ciclone,tifón,pt,América do Norte,Canadá,Ontário,Toronto,43.65107,-79.347015,moderado
"Alerta: tifón em Houston, Estados Unidos.",ciclone,tifón,pt,América do Norte,Estados Unidos,Texas,Houston,29.76043,-95.3698,moderado
"Alerta: tifón em Marselha, França.",ciclone,tifón,pt,Europa,França,Provence-Alpes-Côte d'Azur,Marselha,43.29648,5.36978,moderado
"Alerta: tifón em Nice, França.",ciclone,tifón,pt,Europa,França,Provence-Alpes-Côte d'Azur,Nice,43.71017,7.26195,catastrófico
"Alerta: tifón em Saint-Denis, Reunião.",ciclone,tifón,pt,Europa,Reunião,Reunião,Saint-Denis,-20.87891,55.44813,alto
"Alerta: tifón em La Palma (Cumbre Vieja), Espanha.",ciclone,tifón,pt,Europa,Espanha,Ilhas Canárias,La Palma (Cumbre Vieja),28.57,-17.84,alto
"Alerta: tifón em Londres, Reino Unido.",ciclone,tifón,pt,Europa,Reino Unido,Inglaterra,Londres,51.50735,-0.127758,alto
"Alerta: tifón em Ahmedabad, Índia.",ciclone,tifón,pt,Ásia,Índia,Gujarat,Ahmedabad,23.02251,72.57136,catastrófico
"Alerta: tifón em Tóquio, Japão.",ciclone,tifón,pt,Ásia,Japão,Tóquio,Tóquio,35.68949,139.69171,baixo
"Alerta: tifón em Jacarta, Indonésia.",ciclone,tifón,pt,Ásia,Indonésia,Oeste de Java,Jacarta,-6.20876,106.8456,baixo
"Alerta: tifón em Manila, Filipinas.",ciclone,tifón,pt,Ásia,Filipinas,Luzon,Manila,14.59951,120.98422,moderado
"Alerta: tifón em Kathmandu, Nepal.",ciclone,tifón,pt,Ásia,Nepal,Bagmati,Kathmandu,27.71725,85.32396,baixo
"Alerta: tifón em Lagos, Nigéria.",ciclone,tifón,pt,África,Nigéria,Lagos,Lagos,6.52438,3.37921,alto
"Alerta: tifón em Niamey, Níger.",ciclone,tifón,pt,África,Níger,Niamey,Niamey,13.51253,2.11265,alto
"Alerta: tifón em Nairobi, Quênia.",ciclone,tifón,pt,África,Quênia,Nairobi,Nairobi,-1.29207,36.82193,catastrófico
"Alerta: tifón em Pretória, África do Sul.",ciclone,tifón,pt,África,África do Sul,Gauteng,Pretória,-25.74787,28.22927,moderado
"Alerta: tifón em Piton de la Fournaise, Indonésia.",ciclone,tifón,pt,África,Indonésia,Reunião,Piton de la Fournaise,-21.2448,55.70889,moderado
"Alerta: tifón em Sydney, Austrália.",ciclone,tifón,pt,Oceania,Austrália,Nova Gales do Sul,Sydney,-33.86882,151.2093,baixo
"Alerta: tifón em Brisbane, Austrália.",ciclone,tifón,pt,Oceania,Austrália,Colúmbia Britânica,Brisbane,-27.46977,153.02513,catastrófico
"Alerta: tifón em Suva, Fiji.",ciclone,tifón,pt,Oceania,Fiji,Central,Suva,-18.1248,178.4501,alto
"Alerta: tifón em Wellington, Nova Zelândia.",ciclone,tifón,pt,Oceania,Nova Zelândia,Wellington,Wellington,-41.28646,174.77623,baixo
"Alerta: tifón em Manado, Indonésia.",ciclone,tifón,pt,Oceania,Indonésia,Sulawesi do Norte,Manado,1.4748,124.8428,alto
"Alert: cyclone tropical in São Paulo, Brasil.",ciclone,cyclone tropical,en,América do Sul,Brasil,São Paulo,São Paulo,-23.55052,-46.63331,catastrófico
"Alert: cyclone tropical in Recife, Brasil.",ciclone,cyclone tropical,en,América do Sul,Brasil,Pernambuco,Recife,-8.04756,-34.877,catastrófico
"Alert: cyclone tropical in Barranquilla, Colômbia.",ciclone,cyclone tropical,en,América do Sul,Colômbia,Atlántico,Barranquilla,10.96854,-74.78132,alto
"Alert: cyclone tropical in Buenos Aires, Argentina.",ciclone,cyclone tropical,en,América do Sul,Argentina,Buenos Aires,Buenos Aires,-34.60372,-58.38159,alto
"Alert: cyclone tropical in Santiago, Chile.",ciclone,cyclone tropical,en,América do Sul,Chile,Região Metropolitana,Santiago,-33.44889,-70.66927,baixo
"Alert: cyclone tropical in Los Angeles, Estados Unidos.",ciclone,cyclone tropical,en,América do Norte,Estados Unidos,Califórnia,Los Angeles,34.05223,-118.24368,moderado
"Alert: cyclone tropical in Phoenix, Estados Unidos.",ciclone,cyclone tropical,en,América do Norte,Estados Unidos,Arizona,Phoenix,33.44838,-112.07404,moderado
"Alert: cyclone tropical in Monterrey, México.",ciclone,cyclone tropical,en,América do Norte,México,Nuevo León,Monterrey,25.68661,-100.31612,moderado
"Alert: cyclone tropical in Toronto, Canadá.",ciclone,cyclone tropical,en,América do Norte,Canadá,Ontário,Toronto,43.65107,-79.347015,catastrófico
"Alert: cyclone tropical in Houston, Estados Unidos.",ciclone,cyclone tropical,en,América do Norte,Estados Unidos,Texas,Houston,29.76043,-95.3698,alto
"Alert: cyclone tropical in Marselha, França.",ciclone,cyclone tropical,en,Europa,França,Provence-Alpes-Côte d'Azur,Marselha,43.29648,5.36978,alto
"Alert: cyclone tropical in Nice, França.",ciclone,cyclone tropical,en,Europa,França,Provence-Alpes-Côte d'Azur,Nice,43.71017,7.26195,moderado
"Alert: cyclone tropical in Saint-Denis, Reunião.",ciclone,cyclone tropical,en,Europa,Reunião,Reunião,Saint-Denis,-20.87891,55.44813,catastrófico
"Alert: cyclone tropical in La Palma (Cumbre Vieja), Espanha.",ciclone,cyclone tropical,en,Europa,Espanha,Ilhas Canárias,La Palma (Cumbre Vieja),28.57,-17.84,catastrófico
"Alert: cyclone tropical in Londres, Reino Unido.",ciclone,cyclone tropical,en,Europa,Reino Unido,Inglaterra,Londres,51.50735,-0.127758,alto
"Alert: cyclone tropical in Ahmedabad, Índia.",ciclone,cyclone tropical,en,Ásia,Índia,Gujarat,Ahmedabad,23.02251,72.57136,baixo
"Alert: cyclone tropical in Tóquio, Japão.",ciclone,cyclone tropical,en,Ásia,Japão,Tóquio,Tóquio,35.68949,139.69171,alto
"Alert: cyclone tropical in Jacarta, Indonésia.",ciclone,cyclone tropical,en,Ásia,Indonésia,Oeste de Java,Jacarta,-6.20876,106.8456,baixo
"Alert: cyclone tropical in Manila, Filipinas.",ciclone,cyclone tropical,en,Ásia,Filipinas,Luzon,Manila,14.59951,120.98422,baixo
"Alert: cyclone tropical in Kathmandu, Nepal.",ciclone,cyclone tropical,en,Ásia,Nepal,Bagmati,Kathmandu,27.71725,85.32396,moderado
"Alert: cyclone tropical in Lagos, Nigéria.",ciclone,cyclone tropical,en,África,Nigéria,Lagos,Lagos,6.52438,3.37921,moderado
"Alert: cyclone tropical in Niamey, Níger.",ciclone,cyclone tropical,en,África,Níger,Niamey,Niamey,13.51253,2.11265,alto
"Alert: cyclone tropical in Nairobi, Quênia.",ciclone,cyclone tropical,en,África,Quênia,Nairobi,Nairobi,-1.29207,36.82193,moderado
"Alert: cyclone tropical in Pretória, África do Sul.",ciclone,cyclone tropical,en,África,África do Sul,Gauteng,Pretória,-25.74787,28.22927,baixo
"Alert: cyclone tropical in Piton de la Fournaise, Indonésia.",ciclone,cyclone tropical,en,África,Indonésia,Reunião,Piton de la Fournaise,-21.2448,55.70889,baixo
"Alert: cyclone tropical in Sydney, Austrália.",ciclone,cyclone tropical,en,Oceania,Austrália,Nova Gales do Sul,Sydney,-33.86882,151.2093,moderado
"Alert: cyclone tropical in Brisbane, Austrália.",ciclone,cyclone tropical,en,Oceania,Austrália,Colúmbia Britânica,Brisbane,-27.46977,153.02513,moderado
"Alert: cyclone tropical in Suva, Fiji.",ciclone,cyclone tropical,en,Oceania,Fiji,Central,Suva,-18.1248,178.4501,catastrófico
"Alert: cyclone tropical in Wellington, Nova Zelândia.",ciclone,cyclone tropical,en,Oceania,Nova Zelândia,Wellington,Wellington,-41.28646,174.77623,moderado
"Alert: cyclone tropical in Manado, Indonésia.",ciclone,cyclone tropical,en,Oceania,Indonésia,Sulawesi do Norte,Manado,1.4748,124.8428,catastrófico
"Alerte : ouragan à São Paulo, Brasil.",ciclone,ouragan,fr,América do Sul,Brasil,São Paulo,São Paulo,-23.55052,-46.63331,catastrófico
"Alerte : ouragan à Recife, Brasil.",ciclone,ouragan,fr,América do Sul,Brasil,Pernambuco,Recife,-8.04756,-34.877,alto
"Alerte : ouragan à Barranquilla, Colômbia.",ciclone,ouragan,fr,América do Sul,Colômbia,Atlántico,Barranquilla,10.96854,-74.78132,alto
"Alerte : ouragan à Buenos Aires, Argentina.",ciclone,ouragan,fr,América do Sul,Argentina,Buenos Aires,Buenos Aires,-34.60372,-58.38159,moderado
"Alerte : ouragan à Santiago, Chile.",ciclone,ouragan,fr,América do Sul,Chile,Região Metropolitana,Santiago,-33.44889,-70.66927,catastrófico
"Alerte : ouragan à Los Angeles, Estados Unidos.",ciclone,ouragan,fr,América do Norte,Estados Unidos,Califórnia,Los Angeles,34.05223,-118.24368,alto
"Alerte : ouragan à Phoenix, Estados Unidos.",ciclone,ouragan,fr,América do Norte,Estados Unidos,Arizona,Phoenix,33.44838,-112.07404,alto
"Alerte : ouragan à Monterrey, México.",ciclone,ouragan,fr,América do Norte,México,Nuevo León,Monterrey,25.68661,-100.31612,moderado
"Alerte : ouragan à Toronto, Canadá.",ciclone,ouragan,fr,América do Norte,Canadá,Ontário,Toronto,43.65107,-79.347015,baixo
"Alerte : ouragan à Houston, Estados Unidos.",ciclone,ouragan,fr,América do Norte,Estados Unidos,Texas,Houston,29.76043,-95.3698,catastrófico
"Alerte : ouragan à Marselha, França.",ciclone,ouragan,fr,Europa,França,Provence-Alpes-Côte d'Azur,Marselha,43.29648,5.36978,catastrófico
"Alerte : ouragan à Nice, França.",ciclone,ouragan,fr,Europa,França,Provence-Alpes-Côte d'Azur,Nice,43.71017,7.26195,baixo
"Alerte : ouragan à Saint-Denis, Reunião.",ciclone,ouragan,fr,Europa,Reunião,Reunião,Saint-Denis,-20.87891,55.44813,alto
"Alerte : ouragan à La Palma (Cumbre Vieja), Espanha.",ciclone,ouragan,fr,Europa,Espanha,Ilhas Canárias,La Palma (Cumbre Vieja),28.57,-17.84,catastrófico
"Alerte : ouragan à Londres, Reino Unido.",ciclone,ouragan,fr,Europa,Reino Unido,Inglaterra,Londres,51.50735,-0.127758,moderado
"Alerte : ouragan à Ahmedabad, Índia.",ciclone,ouragan,fr,Ásia,Índia,Gujarat,Ahmedabad,23.02251,72.57136,baixo
"Alerte : ouragan à Tóquio, Japão.",ciclone,ouragan,fr,Ásia,Japão,Tóquio,Tóquio,35.68949,139.69171,catastrófico
"Alerte : ouragan à Jacarta, Indonésia.",ciclone,ouragan,fr,Ásia,Indonésia,Oeste de Java,Jacarta,-6.20876,106.8456,alto
"Alerte : ouragan à Manila, Filipinas.",ciclone,ouragan,fr,Ásia,Filipinas,Luzon,Manila,14.59951,120.98422,catastrófico
"Alerte : ouragan à Kathmandu, Nepal.",ciclone,ouragan,fr,Ásia,Nepal,Bagmati,Kathmandu,27.71725,85.32396,catastrófico
"Alerte : ouragan à Lagos, Nigéria.",ciclone,ouragan,fr,África,Nigéria,Lagos,Lagos,6.52438,3.37921,catastrófico
"Alerte : ouragan à Niamey, Níger.",ciclone,ouragan,fr,África,Níger,Niamey,Niamey,13.51253,2.11265,baixo
"Alerte : ouragan à Nairobi, Quênia.",ciclone,ouragan,fr,África,Quênia,Nairobi,Nairobi,-1.29207,36.82193,moderado
"Alerte : ouragan à Pretória, África do Sul.",ciclone,ouragan,fr,África,África do Sul,Gauteng,Pretória,-25.74787,28.22927,baixo
"Alerte : ouragan à Piton de la Fournaise, Indonésia.",ciclone,ouragan,fr,África,Indonésia,Reunião,Piton de la Fournaise,-21.2448,55.70889,alto
"Alerte : ouragan à Sydney, Austrália.",ciclone,ouragan,fr,Oceania,Austrália,Nova Gales do Sul,Sydney,-33.86882,151.2093,baixo
"Alerte : ouragan à Brisbane, Austrália.",ciclone,ouragan,fr,Oceania,Austrália,Colúmbia Britânica,Brisbane,-27.46977,153.02513,moderado
